feature_929,feature_648,feature_533,feature_374,feature_146,feature_162,feature_292,feature_2,feature_125,feature_105,feature_36,feature_239,feature_684,feature_771,feature_3,feature_361,feature_505,feature_905,feature_385,feature_395,feature_822,feature_119,feature_52,feature_100,feature_71,feature_382,feature_164,feature_579,feature_195,feature_59,feature_857,class
-2.5034003,-0.14100713,-0.39563894,-0.87938875,-2.0588155,-1.7907264,-1.0312208,0.26466012,-3.1160803,-1.7373526,-3.7842014,-2.1361139,1.673939,-1.9777652,-1.2483346,-1.6631447,0.50858462,4.6468825,-1.9688636,-3.4810629,-0.59798193,-3.2320437,-2.2737179,-1.5886149,-1.4676126,-2.9807267,-1.225098,2.1154854,-1.050281,-1.5213902,-0.39091647,FML
-2.2100401,-0.17088673,0.041791499,-0.96625143,-2.2844539,-1.5674853,-0.81189692,0.20085089,-3.2733362,-2.0141897,-3.9669392,-1.8500509,1.6184826,-1.6956923,-1.3989316,-1.5453517,0.73277599,4.4904509,-2.1826572,-3.7113838,-1.1235583,-3.1551225,-2.0053093,-1.39308,-1.5613157,-2.8331025,-0.77742797,2.2765479,-1.2454903,-1.4775779,-0.85007304,FML
-2.3557568,-0.20084414,-0.25705069,-0.78717875,-2.0098991,-1.7045927,-0.86397469,0.28011081,-3.1380758,-1.4808774,-3.8922765,-1.8438821,1.4874095,-1.7889849,-1.3997531,-1.4080164,0.45325223,4.6255002,-1.9776771,-3.6620901,-0.80992639,-3.1393933,-2.0017602,-1.4202427,-1.5933224,-2.773699,-0.833148,2.4730201,-1.2526667,-1.5252995,-0.53828311,FML
-2.2592492,0.083806604,-0.5343796,-0.79439145,-2.1102273,-1.3895881,-1.0835614,0.47336847,-2.7811675,-1.5277739,-3.8217492,-1.9059324,1.2453191,-1.5246929,-1.3280548,-1.7452496,0.64637733,4.7381935,-2.1590724,-3.449508,-0.76101673,-2.9620802,-2.4710078,-1.8980963,-1.5379633,-3.0325332,-0.80634868,3.0239675,-1.2349477,-1.3268862,-0.6525948,FML
-2.3707633,0.29983464,0.002557576,-0.73866761,-2.0349083,-1.8491881,-0.71391743,0.55759853,-3.0744748,-1.7603637,-3.8155932,-1.8410375,1.8417718,-1.6306133,-1.4281836,-1.6365882,0.6536305,4.8434682,-2.170006,-3.856086,-0.72533834,-3.0839021,-2.230283,-1.481865,-1.3253077,-2.915956,-0.78023583,3.1688299,-1.3596473,-1.6012352,-1.0220579,FML
-2.0079606,0.77323747,-0.055035591,-0.75794482,-2.3316436,-1.6904056,-0.93917155,0.91608101,-2.6395297,-1.9108597,-3.6063533,-1.9605916,1.5936215,-1.7338403,-1.2334402,-1.6349953,0.87110907,4.8834147,-2.4048605,-3.802968,-0.65736794,-2.674257,-2.5736167,-1.7300537,-1.1214175,-2.9235418,-0.59516239,3.6911426,-1.6075671,-1.5092945,-1.0231608,FML
-2.3676288,-0.42154929,-0.27810025,-0.91797256,-2.1352687,-1.5883749,-1.0684254,0.25813302,-3.1376674,-1.6241788,-3.855212,-1.9503412,1.5576403,-1.7093472,-1.4257145,-1.7953452,0.41508448,4.724493,-2.0431042,-3.5289688,-0.70330548,-3.2052951,-2.355454,-1.7394288,-1.5567687,-3.0014749,-1.0363483,2.4270234,-1.0950634,-1.383076,-0.68443358,FML
-2.3056686,-0.16257827,-0.39273703,-0.91946751,-2.0561934,-1.6869771,-1.0512805,0.33624184,-3.0617294,-1.6016344,-3.8397219,-1.9263103,1.7282188,-1.8491799,-1.1188941,-1.7784697,0.50818896,4.7669978,-1.7908508,-3.5164454,-0.76764172,-3.0872085,-2.093241,-1.5634677,-1.40409,-2.8734407,-1.0089027,2.1568143,-1.3853389,-1.5714853,-0.628901,FML
-2.2346663,-0.18848279,-0.12597156,-0.97834694,-2.0132332,-1.7740171,-1.0373272,0.48980784,-2.9820175,-1.6396152,-3.7236748,-1.9586136,1.5171328,-1.6894503,-1.3554183,-1.6260747,0.55164421,4.5664554,-2.0382476,-3.527359,-0.6345439,-3.2341042,-2.1113207,-1.6582532,-1.4257752,-2.9524961,-1.0515655,2.5908194,-1.2502733,-1.3410463,-0.80980277,FML
-2.1992173,0.043563306,-0.34370476,-0.64990437,-2.1237185,-1.862323,-0.9257015,0.48139939,-3.1741192,-1.8833165,-4.0396609,-1.7918954,1.5158542,-1.7092919,-1.5353048,-1.6009896,0.52762944,4.3167853,-2.066608,-3.8391719,-0.79313534,-3.1105795,-2.1956964,-1.3991446,-1.5985541,-2.8079233,-0.73060954,2.9935906,-1.2336996,-1.6621027,-0.67781484,FML
-2.2807689,0.12949169,-0.15767908,-0.82917202,-1.9173768,-1.8201847,-1.0345308,0.43603352,-3.0439842,-1.8749393,-3.8731258,-1.7718296,1.7164021,-2.107348,-1.3247836,-1.492098,0.59228516,4.4095793,-2.0632801,-3.8736255,-0.54168236,-3.216795,-2.3917866,-1.4417509,-1.7309645,-2.7915633,-1.103017,2.6548874,-1.4087467,-1.609781,-0.43479389,FML
-2.118212,0.004826129,0.10052657,-0.94225055,-2.0244288,-1.7731171,-0.97594535,0.53339219,-3.1433723,-2.0530794,-3.9794776,-1.6428304,1.7117722,-1.6390029,-1.2611303,-1.5175836,0.70116889,4.5210366,-2.2363772,-4.0207462,-0.83403957,-3.1267059,-2.2933216,-1.3871042,-1.5651447,-2.8927755,-0.87451947,2.8687069,-1.4590493,-1.5943437,-1.0029769,FML
-2.3976901,-0.20061815,-0.20416927,-0.95926946,-2.1346741,-1.4915245,-1.0283417,0.066186883,-3.2699409,-1.6738192,-4.0299358,-1.7437856,1.5394173,-1.8142567,-1.2789862,-1.7452754,0.56049788,4.6904054,-1.9725797,-3.6609385,-1.020762,-3.2054534,-2.243964,-1.4890702,-1.7628182,-2.9287908,-0.9577837,2.2813537,-1.2522117,-1.6296313,-0.42974091,FML
-2.305824,-0.091436937,-0.32847703,-0.77553678,-1.9819407,-1.7124703,-1.0673144,0.24807198,-3.1288576,-1.6105131,-3.9298949,-1.967937,1.5690691,-1.813634,-1.5037488,-1.6261327,0.56502813,4.4725833,-2.1309204,-3.5811012,-0.67043614,-3.1484714,-2.2943182,-1.5149961,-1.6471169,-2.8812721,-1.1522666,2.3596952,-1.0518829,-1.5655038,-0.6430251,FML
-2.2700009,-0.039711744,-0.38576567,-0.76484931,-2.2239137,-1.5067577,-1.0111259,0.49931085,-2.8417768,-1.5080813,-3.7456322,-2.0086331,1.3204585,-1.647836,-1.4603703,-1.6996328,0.54401177,4.6996689,-2.0637934,-3.4882038,-0.64398509,-3.0628386,-2.3495398,-1.8001161,-1.3551419,-2.8183098,-0.77648664,3.0281134,-1.2202559,-1.3237624,-0.76252264,FML
-2.4703076,0.17781895,-0.11674279,-0.89742273,-1.967924,-1.9100075,-0.96765375,0.45874393,-2.9608254,-1.8414347,-3.6530881,-1.8705492,1.7053118,-2.0434582,-1.3581164,-1.5423877,0.62738442,4.7981844,-2.1311176,-3.8060775,-0.50028312,-3.1784272,-2.3993413,-1.519572,-1.3040631,-2.976054,-1.0113833,2.8957381,-1.2758024,-1.5323777,-0.70226085,FML
-2.4191008,-0.2825585,-0.15527797,-0.99360329,-2.2001486,-1.5766459,-1.0733112,-0.04991271,-3.3119671,-1.7197634,-3.9631393,-1.9106874,1.5669467,-1.7650707,-1.3676273,-1.6406494,0.67853451,4.5982075,-2.0567348,-3.43396,-1.0750966,-3.2223127,-1.9527804,-1.4099038,-1.8176197,-2.8994234,-0.94000936,1.8170091,-1.1114906,-1.5874808,-0.46472371,FML
-2.3874896,-0.096960485,-0.13858223,-0.76519406,-2.1191764,-1.6652524,-0.73358083,0.33808246,-3.2081664,-1.779667,-3.888823,-1.8429115,1.658982,-1.8316537,-1.3288939,-1.5290936,0.4936896,4.7095532,-2.1450186,-3.781831,-0.7294569,-3.1347055,-2.4238305,-1.5956516,-1.5092351,-2.9097176,-0.93031383,2.6582909,-1.2519588,-1.6297755,-0.71208221,FML
